model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp
XGBoost,0.30000000000000004,0.7163295735789346,0.5785137799628964,0.35463211928623806,0.3294352732805014,0.8275922866452915,0.3415696476709555,0.6456177357730007,0.33141873324654214,0.16552945971488953,126735,26402,29531,14508
XGBoost,0.3500000000000001,0.7556649896539133,0.5476141882663602,0.392530646166632,0.17159790185971524,0.9236304746730052,0.2388017253637958,0.6456177357730007,0.33141873324654214,0.16552945971488953,141442,11695,36482,7557
XGBoost,0.40000000000000013,0.7716354931634681,0.5233740165306513,0.43465045592705165,0.07468380299280183,0.9720642300685007,0.12746579855055615,0.6456177357730007,0.33141873324654214,0.16552945971488953,148859,4278,40750,3289
XGBoost,0.45000000000000007,0.7761340122530125,0.5091628905482101,0.4791836734693877,0.02665818933218284,0.9916675917642372,0.05050657144700897,0.6456177357730007,0.33141873324654214,0.16552945971488953,151861,1276,42865,1174
XGBoost,0.5000000000000001,0.7767020327017486,0.5025967122048232,0.5080128205128205,0.007198165262608143,0.9979952591470382,0.014195195127958265,0.6456177357730007,0.33141873324654214,0.16552945971488953,152830,307,43722,317
XGBoost,0.5500000000000002,0.7767831784801396,0.500497405965212,0.6710526315789473,0.0011580644428801745,0.9998367474875438,0.0023121387283236996,0.6456177357730007,0.33141873324654214,0.16552945971488953,153112,25,43988,51
XGBoost,0.6000000000000002,0.776646244979105,0.5000210005179118,0.42857142857142855,6.812143781648084e-05,0.999973879598007,0.00013622122326658494,0.6456177357730007,0.33141873324654214,0.16552945971488953,153133,4,44036,3
XGBoost,0.6500000000000001,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
XGBoost,0.7000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
XGBoost,0.7500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
XGBoost,0.8000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
XGBoost,0.8500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
XGBoost,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6456177357730007,0.33141873324654214,0.16552945971488953,153137,0,44039,0
Gradient Boosting,0.1,0.22591491865135715,0.5009322369039506,0.22367322842660262,0.9979790640114444,0.0038854097964567675,0.3654414607680507,0.6436947828014071,0.33055297819438684,0.16610685410891526,595,152542,89,43950
Gradient Boosting,0.15000000000000002,0.34330243031606283,0.5503306304473004,0.2439804882725889,0.9244987397534004,0.17616252114120037,0.3860738788031084,0.6436947828014071,0.33055297819438684,0.16610685410891526,26977,126160,3325,40714
Gradient Boosting,0.20000000000000004,0.5238112143465736,0.6005703076074117,0.28318691832652,0.7392992574763279,0.4618413577384956,0.4095114113037627,0.6436947828014071,0.33055297819438684,0.16610685410891526,70725,82412,11481,32558
Gradient Boosting,0.25000000000000006,0.657072868908995,0.599095696324166,0.32434888849156684,0.49431185994232385,0.7038795327060083,0.3916872835230084,0.6436947828014071,0.33055297819438684,0.16610685410891526,107790,45347,22270,21769
Gradient Boosting,0.30000000000000004,0.7380614273542419,0.5645505857590671,0.37195840204624236,0.2509593769159154,0.878141794602219,0.29970712658639764,0.6436947828014071,0.33055297819438684,0.16610685410891526,134476,18661,32987,11052
Gradient Boosting,0.3500000000000001,0.7694090558688684,0.5268099501489008,0.4224755700325733,0.08835350484797566,0.965266395449826,0.14614358955097748,0.6436947828014071,0.33055297819438684,0.16610685410891526,147818,5319,40148,3891
Gradient Boosting,0.40000000000000013,0.7764890250334726,0.5059942645231268,0.4896103896103896,0.01712118803787552,0.9948673410083781,0.03308541214155642,0.6436947828014071,0.33055297819438684,0.16610685410891526,152351,786,43285,754
Gradient Boosting,0.45000000000000007,0.7766310301456567,0.5000678250262064,0.4166666666666667,0.0002270714593882695,0.9999085785930245,0.0004538955586319588,0.6436947828014071,0.33055297819438684,0.16610685410891526,153123,14,44029,10
Gradient Boosting,0.5000000000000001,0.7766361017568061,0.5000063818946932,0.2857142857142857,4.54142918776539e-05,0.9999673494975088,9.081414884438995e-05,0.6436947828014071,0.33055297819438684,0.16610685410891526,153132,5,44037,2
Gradient Boosting,0.5500000000000002,0.7766361017568061,0.4999982933719729,0.2,2.270714593882695e-05,0.999973879598007,4.5409136318227226e-05,0.6436947828014071,0.33055297819438684,0.16610685410891526,153133,4,44038,1
Gradient Boosting,0.6000000000000002,0.7766513165902544,0.5000080885227203,0.5,2.270714593882695e-05,0.9999934698995018,4.541222951340796e-05,0.6436947828014071,0.33055297819438684,0.16610685410891526,153136,1,44038,1
Gradient Boosting,0.6500000000000001,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Gradient Boosting,0.7000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Gradient Boosting,0.7500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Gradient Boosting,0.8000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Gradient Boosting,0.8500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Gradient Boosting,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6436947828014071,0.33055297819438684,0.16610685410891526,153137,0,44039,0
Neural Network,0.1,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.646249851844054,0.33281759282630874,0.23307175934314728,0,153137,0,44039
Neural Network,0.15000000000000002,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.646249851844054,0.33281759282630874,0.23307175934314728,0,153137,0,44039
Neural Network,0.20000000000000004,0.22335882663204445,0.5000065301004982,0.22335094890807106,1.0,1.3060200996493336e-05,0.3651461571308346,0.646249851844054,0.33281759282630874,0.23307175934314728,2,153135,0,44039
Neural Network,0.25000000000000006,0.22401306447032093,0.5002902166963903,0.22344945206105243,0.99961397851904,0.0009664548737405069,0.3652520224019913,0.646249851844054,0.33281759282630874,0.23307175934314728,148,152989,17,44022
Neural Network,0.30000000000000004,0.26580821195277315,0.5181707044435718,0.230012115493894,0.9742728036513091,0.06206860523583458,0.37216201095512563,0.646249851844054,0.33281759282630874,0.23307175934314728,9505,143632,1133,42906
Neural Network,0.3500000000000001,0.37130279547206557,0.5618861546964782,0.24984820316363385,0.9063330230023389,0.21743928639061755,0.39171311925885216,0.646249851844054,0.33281759282630874,0.23307175934314728,33298,119839,4125,39914
Neural Network,0.40000000000000013,0.4497352618979998,0.5878719329566915,0.2668345053100674,0.8375303708076932,0.33821349510568965,0.4047249364942639,0.646249851844054,0.33281759282630874,0.23307175934314728,51793,101344,7155,36884
Neural Network,0.45000000000000007,0.5195967054813974,0.6027344300507251,0.28341039424991665,0.7529916664774404,0.4524771936240099,0.41182022527725,0.646249851844054,0.33281759282630874,0.23307175934314728,69291,83846,10878,33161
Neural Network,0.5000000000000001,0.5884133971680123,0.6071372143018884,0.30167144017441117,0.6409773155612071,0.5732971130425697,0.41025790089455055,0.646249851844054,0.33281759282630874,0.23307175934314728,87793,65344,15811,28228
Neural Network,0.5500000000000002,0.6666328559256705,0.5982618324134329,0.32919704580885945,0.47469288585117736,0.7218307789756885,0.38877833776571014,0.646249851844054,0.33281759282630874,0.23307175934314728,110539,42598,23134,20905
Neural Network,0.6000000000000002,0.7289375988964174,0.5725000456898701,0.3653306613226453,0.2897658893253707,0.8552342020543696,0.32319011257582086,0.646249851844054,0.33281759282630874,0.23307175934314728,130968,22169,31278,12761
Neural Network,0.6500000000000001,0.761725564977482,0.5405802405962303,0.40415553963394774,0.1408978405504212,0.9402626406420395,0.20895070043103448,0.646249851844054,0.33281759282630874,0.23307175934314728,143989,9148,37834,6205
Neural Network,0.7000000000000002,0.7746632450196779,0.5154633423333442,0.4567519858781995,0.047003792093371785,0.9839228925733167,0.08523604620040764,0.646249851844054,0.33281759282630874,0.23307175934314728,150675,2462,41969,2070
Neural Network,0.7500000000000002,0.7767426055909441,0.5026956293112989,0.5141955835962145,0.007402529576057585,0.99798872904654,0.01459494549280326,0.646249851844054,0.33281759282630874,0.23307175934314728,152829,308,43713,326
Neural Network,0.8000000000000002,0.7766918894794498,0.5001312711973568,0.7222222222222222,0.00029519289720475033,0.9999673494975088,0.0005901445854234287,0.646249851844054,0.33281759282630874,0.23307175934314728,153132,5,44026,13
Neural Network,0.8500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.646249851844054,0.33281759282630874,0.23307175934314728,153137,0,44039,0
Neural Network,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.646249851844054,0.33281759282630874,0.23307175934314728,153137,0,44039,0
LSTM,0.1,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6462379110825025,0.3313014896118027,0.231843963265419,0,153137,0,44039
LSTM,0.15000000000000002,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6462379110825025,0.3313014896118027,0.231843963265419,0,153137,0,44039
LSTM,0.20000000000000004,0.22334868340974562,0.5,0.22334868340974562,1.0,0.0,0.36514312957320233,0.6462379110825025,0.3313014896118027,0.231843963265419,0,153137,0,44039
LSTM,0.25000000000000006,0.23280216659228303,0.5041286311660557,0.22479828361426488,0.9945048706828039,0.013752391649307482,0.36670615865732814,0.6462379110825025,0.3313014896118027,0.231843963265419,2106,151031,242,43797
LSTM,0.30000000000000004,0.30535156408487846,0.5357015489701021,0.2371634960770671,0.9520198006312587,0.11938329730894559,0.37973009691151166,0.6462379110825025,0.3313014896118027,0.231843963265419,18282,134855,2113,41926
LSTM,0.3500000000000001,0.38669513531058547,0.5685439960690108,0.25342175814872303,0.8972047503349304,0.23988324180309134,0.395212875025631,0.6462379110825025,0.3313014896118027,0.231843963265419,36735,116402,4527,39512
LSTM,0.40000000000000013,0.4616586197103096,0.5912854146187875,0.269664671458134,0.8255637048979314,0.3570071243396436,0.40653688318368353,0.6462379110825025,0.3313014896118027,0.231843963265419,54671,98466,7682,36357
LSTM,0.45000000000000007,0.5324329533006046,0.6043575950778981,0.2866157363915132,0.7343490996616635,0.4743660904941327,0.4123080453615345,0.6462379110825025,0.3313014896118027,0.231843963265419,72643,80494,11699,32340
LSTM,0.5000000000000001,0.5994035785288271,0.6066740750164283,0.30484359120402943,0.6198142555462204,0.5935338944866362,0.4086839347207666,0.6462379110825025,0.3313014896118027,0.231843963265419,90892,62245,16743,27296
LSTM,0.5500000000000002,0.6617742524445166,0.5990002281350715,0.32687221975938974,0.48554690160993663,0.7124535546602062,0.3907140768893437,0.6462379110825025,0.3313014896118027,0.231843963265419,109103,44034,22656,21383
LSTM,0.6000000000000002,0.7148740211790482,0.5795098674715473,0.35385722855428914,0.33486228115988104,0.8241574537832137,0.34409781365937886,0.6462379110825025,0.3313014896118027,0.231843963265419,126209,26928,29292,14747
LSTM,0.6500000000000001,0.7549346776483954,0.5481227322796416,0.3909766778694368,0.1743454665183133,0.9218999980409699,0.2411545770058263,0.6462379110825025,0.3313014896118027,0.231843963265419,141177,11960,36361,7678
LSTM,0.7000000000000002,0.7747342475757699,0.5132685322433116,0.4523208879919273,0.04071391266831672,0.9858231518183065,0.0747036643543112,0.6462379110825025,0.3313014896118027,0.231843963265419,150966,2171,42246,1793
LSTM,0.7500000000000002,0.7766563882014038,0.5000517961865708,0.5454545454545454,0.0001362428756329617,0.9999673494975088,0.0002724177071509648,0.6462379110825025,0.3313014896118027,0.231843963265419,153132,5,44033,6
LSTM,0.8000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6462379110825025,0.3313014896118027,0.231843963265419,153137,0,44039,0
LSTM,0.8500000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6462379110825025,0.3313014896118027,0.231843963265419,153137,0,44039,0
LSTM,0.9000000000000002,0.7766513165902544,0.5,0.0,0.0,1.0,0.0,0.6462379110825025,0.3313014896118027,0.231843963265419,153137,0,44039,0
